direction,entry_epoch,signal_entry_price,entry_price,entry_slippage,exit_epoch,exit_price_modelo,exit_price,exit_slippage,gross_profit,spread_cost,commission_cost,profit,profit_pct,r_multiple,resultado_tipo,motivo_salida
BUY,1783974540,2900.75,2900.813095213165,0.06309521316484396,1783974840,2899.9496500654986,2899.8778719569486,0.07177810854987357,-0.54156494986624,0.016666666666664262,0.0,-0.5582316165329043,-0.5582316165329043,-1.1164632330658086,STOP,Stop Loss
BUY,1783975440,2900.872,2900.8765241307365,0.004524130736749382,1783975800,2902.682189203162,2902.553372974182,0.12881622898021558,0.923475880717917,0.016573628063913187,0.0,0.9069022526540038,0.9119932875256297,1.8239865750512594,TAKE,Take Profit
BUY,1783999740,2894.024,2894.2726974579145,0.24869745791472156,1784000280,2897.0131471628424,2896.8013272821345,0.2118198807078782,0.9259233655519892,0.016724778439351228,0.0,0.9091985871126379,0.9060394934473267,1.8120789868946534,TAKE,Take Profit
BUY,1784300340,2959.091,2959.2326977416583,0.1416977416585986,1784300820,2961.6518585084305,2961.4331000193333,0.2187584890970126,0.9210138041741419,0.01687631153720747,0.0,0.9041374926369344,0.8929059040771116,1.785811808154223,TAKE,Take Profit
BUY,1784386740,3029.155,3029.373165594828,0.21816559482804215,1784387220,3027.7525652477802,3027.4738989607054,0.27866628707487323,-0.5986450977378007,0.01702700111930968,0.0,-0.6156720988571104,-0.6026429184867087,-1.2052858369734174,STOP,Stop Loss
BUY,1784390340,3026.279,3026.456352144344,0.1773521443437521,1784390700,3028.416910060339,3028.333988823619,0.08292123671974816,0.9725146141683451,0.016924389102834652,0.0,0.9555902250655104,0.9410386191383082,1.8820772382766164,TAKE,Take Profit
BUY,1784415540,3023.418,3023.5366889477227,0.11868894772241892,1784415960,3025.781570492065,3025.721791362354,0.05977912971102471,0.9977239290922585,0.017083654140348223,0.0,0.9806402749519103,0.9567042535666979,1.913408507133396,TAKE,Take Profit
BUY,1784420940,3020.708,3020.716488597534,0.008488597533748473,1784421300,3022.6693951972316,3022.6048633825853,0.06453181464622584,1.0006308887977453,0.017247094186173186,0.0,0.9833837946115721,0.9502893492246148,1.9005786984492299,TAKE,Take Profit
BUY,1784428140,3023.307,3023.461783933664,0.1547839336638369,1784428500,3022.4890505285784,3022.415989224844,0.07306130373446867,-0.5615615545456115,0.01741099148527241,0.0,-0.5789725460308839,-0.5542213056625558,-1.1084426113251116,STOP,Stop Loss
BUY,1784442540,3019.232,3019.383331750377,0.1513317503769967,1784442660,3017.9728960539933,3017.9400681484053,0.032827905587813136,-0.531524734136441,0.01731449606093268,0.0,-0.5488392301973737,-0.5283041718971895,-1.0566083437943787,STOP,Stop Loss
BUY,1784445240,3027.784,3027.895819785409,0.11181978540894105,1784445540,3029.3660587992963,3029.3591586117873,0.00690018750919669,1.0285314624867292,0.017223022855903672,0.0,1.0113084396308256,0.9786400913204066,1.9572801826408133,TAKE,Take Profit
BUY,1784462340,3051.561,3051.596651427724,0.035651427723723796,1784462580,3052.7269929283852,3052.72584874869,0.00114417969526896,1.0424381863243581,0.017391574262508973,0.0,1.025046612061849,0.9823210908434249,1.9646421816868493,TAKE,Take Profit
BUY,1784503740,3041.864,3041.921065849047,0.057065849046896815,1784503920,3040.8783554936413,3040.727774254723,0.15058123891817626,-0.6029598494497662,0.01756241536451709,0.0,-0.6205222648142833,-0.5888733145327621,-1.1777466290655243,STOP,Stop Loss
BUY,1784518140,3031.072,3031.2584743040425,0.1864743040423887,1784518500,3033.1422570669342,3032.9614710630467,0.18078600388734595,0.9470076634350448,0.0174589949870523,0.0,0.9295486684479926,0.8873636666348198,1.7747273332696394,TAKE,Take Profit
BUY,1784540640,3013.454,3013.4597643970105,0.005764397010520923,1784540880,3014.8523799425548,3014.8285757696576,0.02380417289698929,1.0387705538062182,0.01761391976512841,0.0,1.0211566340410898,0.966240193038536,1.932480386077072,TAKE,Take Profit
SELL,1784600040,2981.338,2981.2537477560168,0.084252243983524,1784600220,2982.3494449569957,2982.463108895847,0.11366393885160896,-0.5888692950013049,0.017784112537464,0.0,-0.606653407538769,-0.5685349833648863,-1.1370699667297726,STOP,Stop Loss
SELL,1784612640,2984.036,2983.8378551799888,0.19814482001134953,1784612880,2985.253813451053,2985.312310790582,0.058497339529162314,-0.552406192817177,0.017683003636206264,0.0,-0.5700891964533832,-0.5373231156329934,-1.0746462312659868,STOP,Stop Loss
SELL,1784617140,2996.21,2996.0658630014427,0.14413699855719564,1784617200,2994.2770613385237,2994.3566747170576,0.07961337853368071,1.0083124912605383,0.017587988770135416,0.0,0.9907245024904029,0.9388267901073468,1.8776535802146936,TAKE,Take Profit
SELL,1784651340,2988.65,2988.5823919318104,0.06760806818986985,1784651580,2986.120118543393,2986.3219892431266,0.20187069973385385,0.9778567241517799,0.017753109520544697,0.0,0.9601036146312353,0.9013478394869863,1.8026956789739728,TAKE,Take Profit
SELL,1784707140,2979.782,2979.752798648483,0.029201351517178637,1784707260,2980.5910060593606,2980.634884880375,0.04387882101452246,-0.565525512166917,0.01791312678965067,0.0,-0.5834386389565677,-0.5428408691641807,-1.0856817383283612,STOP,Stop Loss
SELL,1784708040,2979.634,2979.461114168918,0.17288583108192132,1784708220,2980.505493941662,2980.681767604587,0.17627366292538416,-0.6246872334296325,0.017815887016492327,0.0,-0.6425031204461248,-0.6010582201636002,-1.2021164403272007,STOP,Stop Loss
SELL,1784732340,2994.999,2994.8307950307726,0.1682049692273695,1784732520,2995.8198796603965,2995.830476945073,0.010597284676125772,-0.5369561829942868,0.017708803163088063,0.0,-0.5546649861573749,-0.5220237839238555,-1.044047567847711,STOP,Stop Loss
BUY,1784991540,3115.759,3115.8090763802657,0.05007638026564385,1784991780,3117.1703070725603,3117.066998258231,0.1033088143293051,0.9767633151389931,0.017616358998719592,0.0,0.9591469561402735,0.907439647630631,1.8148792952612618,TAKE,Take Profit
BUY,1785005040,3108.832,3108.979308943143,0.14730894314355106,1785005640,3112.246956703067,3112.0952071534016,0.15174954966545492,1.0170413629408095,0.017776216824747258,0.0,0.9992651461160622,0.936893337099016,1.8737866741980322,TAKE,Take Profit
BUY,1785029340,3093.316,3093.4083480695153,0.09234806951554825,1785029400,3092.48958405871,3092.3927707539956,0.09681330471429786,-0.5950035324991085,0.01794276101576661,0.0,-0.6129462935148752,-0.5693533759717211,-1.1387067519434422,STOP,Stop Loss
BUY,1785080640,3124.226,3124.262427253053,0.03642725305293365,1785081060,3126.483809949821,3126.436950030657,0.04685991916425892,1.047855418129087,0.017840603300183434,0.0,1.0300148148289034,0.9622384003295726,1.924476800659145,TAKE,Take Profit
BUY,1785112140,3103.96,3104.0260875178947,0.06608751789461642,1785112320,3102.8880520342086,3102.8704188587294,0.01763317547940189,-0.5487408529792078,0.01801227243598359,0.0,-0.5667531254151914,-0.5244138659991885,-1.048827731998377,STOP,Stop Loss
